bin	Phylum
bin321	Pseudomonadota
bin322	Pseudomonadota
bin323	Pseudomonadota
bin324	Pseudomonadota
bin325	Bacteroidota
bin326	Pseudomonadota
bin327	Pseudomonadota
bin328	Pseudomonadota
bin329	Pseudomonadota
bin33	Pseudomonadota
bin330	Bacillota
bin331	Pseudomonadota
bin332	Spirochaetota
bin333	Pseudomonadota
bin334	Pseudomonadota
bin335	Pseudomonadota
bin336	Pseudomonadota
bin337	Chloroflexota

