label	kingdom	phylum	class	order	family	genus
Marine_Methylotrophic_Group_2	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Methylococcales	f__Methylomonadaceae	g__Marine_Methylotrophic_Group_2
Marinimicrobia_(SAR406_clade)	d__Bacteria	p__Marinimicrobia_(SAR406_clade)	c__Marinimicrobia_(SAR406_clade)	o__Marinimicrobia_(SAR406_clade)	f__Marinimicrobia_(SAR406_clade)	g__Marinimicrobia_(SAR406_clade)
AEGEAN-169_marine_group	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__AEGEAN-169_marine_group	g__AEGEAN-169_marine_group
SAR202_clade	d__Bacteria	p__Chloroflexi	c__Dehalococcoidia	o__SAR202_clade	f__SAR202_clade	g__SAR202_clade
Clade_II	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__SAR11_clade	f__Clade_II	g__Clade_II
Nitrosopumilaceae	d__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrosopumilales	f__Nitrosopumilaceae	g__Nitrosopumilaceae
SAR324_clade(Marine_group_B)	d__Bacteria	p__SAR324_clade(Marine_group_B)	c__SAR324_clade(Marine_group_B)	o__SAR324_clade(Marine_group_B)	f__SAR324_clade(Marine_group_B)	g__SAR324_clade(Marine_group_B)
Marine_Group_II	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Marine_Group_II	f__Marine_Group_II	g__Marine_Group_II
Arctic97B-4_marine_group	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Arctic97B-4_marine_group	f__Arctic97B-4_marine_group	g__Arctic97B-4_marine_group
Acinetobacter	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter
Poribacteria	d__Bacteria	p__Poribacteria	c__Poribacteria	o__Poribacteria	f__Poribacteria	g__Poribacteria
Rheinheimera	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	g__Rheinheimera
JL-ETNP-F27	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__Phycisphaerales	f__Phycisphaeraceae	g__JL-ETNP-F27
Clade_Ib	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__SAR11_clade	f__Clade_I	g__Clade_Ib
Pla3_lineage	d__Bacteria	p__Planctomycetota	c__Pla3_lineage	o__Pla3_lineage	f__Pla3_lineage	g__Pla3_lineage
SUP05_cluster	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Thiomicrospirales	f__Thioglobaceae	g__SUP05_cluster
Marine_Group_III	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Thermoplasmata	f__Thermoplasmata	g__Marine_Group_III
S25-593	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__S25-593	g__S25-593
UBA10353_marine_group	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__UBA10353_marine_group	f__UBA10353_marine_group	g__UBA10353_marine_group
Chryseobacterium	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Weeksellaceae	g__Chryseobacterium
Sphingobium	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingobium
